W_mass,Chi2,Hand_Calc_Chi2
80.1192 -250 MeV,434.2138573087977,435.55823495469787
80.2692 -100 MeV,88.21128733123884,88.69136812880501
80.3192 -50 MeV,50.30926076836831,52.539741073899684
80.4192 +50 MeV,72.16491228994433,76.00781359208818
80.4692 +100 MeV,101.63336691813275,101.6677614902504
80.6192 +250 MeV,187.76273402978276,188.06278404585726
